2073		806		1177
1444		2017		583
1177		2383		583
2478		1171		1955
2327		1442		342
2383		1442		2327
38		1965		1444
2073		577		806
896		1162		2017
2112		2241		1171
1763		2458		1955
1720		2504		1732
234		2629		1447
800		2005		806
2005		800		1995
2005		587		806
577		2026		806
1965		2364		1444
344		2364		1965
2586		896		2017
2586		344		896
2586		2364		344
2562		2557		2109
2243		1805		1809
38		2527		1965
2113		1805		2112
1805		2113		1809
238		2241		2112
238		1805		1495
1805		238		2112
1744		410		2339
410		2458		2339
1458		1744		2339
1410		2383		1177
1410		1412		2383
1371		1999		1845
1845		1999		93
587		1999		806
806		1999		1177
1999		1371		1177
793		1719		38
793		38		1444
1590		1578		1283
1941		1590		1283
1713		1590		1719
984		1590		223
1590		984		1578
2493		2327		342
1714		1404		230
1717		1714		230
1719		1717		230
793		1717		1719
386		2350		2629
1180		2415		800
1999		2573		93
2573		1999		2086
2005		2082		587
2082		2573		2086
1479		2005		297
1479		2082		2005
2253		1214		1015
1214		2253		1991
12		577		2010
12		2026		577
910		1778		666
777		577		2073
777		2073		1313
1290		777		1313
2014		2478		1955
1170		1171		2478
344		2100		896
2562		2100		344
1988		2017		1444
1988		2586		2017
1399		344		1965
1980		2241		1968
2241		1980		1171
1171		1980		1955
1980		1763		1955
2527		1396		2238
2563		2015		847
1162		1161		847
2113		1155		1809
1155		2125		1809
2458		1210		2339
1763		1210		2458
678		410		1744
1449		234		1447
2504		409		1732
1451		409		2504
1452		1451		2504
2458		1456		1955
410		1456		2458
1456		2504		1955
1456		1452		2504
1452		1456		410
1745		2582		2339
2582		1458		2339
1620		1713		2329
2709		1845		93
517		1412		1410
115		1719		230
115		1713		1719
1789		2493		2324
2493		1789		2327
2493		526		2324
1800		1620		2329
1714		1800		2329
1800		1714		1321
540		1714		2329
540		1404		1714
1714		1401		1321
2500		229		2501
2500		1401		229
229		1712		2501
2350		1517		1510
2343		1695		2443
2350		1695		2629
1695		2343		2629
1528		1529		1058
2629		2465		1447
2082		1482		2573
1482		1479		94
1479		1482		2082
951		2082		2086
2235		2398		297
2398		1479		297
2005		1990		297
366		1990		2005
1990		2235		297
637		122		2253
2008		12		2010
577		2011		2010
2110		1170		2478
2015		2110		2478
